"Name"	"DisplayName"	"ShortName"	"EnvPackage"	"EnvPackageDisplay"	"Description"	"Example"
"Generic.1.0"	"Generic"	""	""	""	"Generic"	""
"Pathogen.cl.1.0"	"Pathogen: clinical or host-associated; version 1.0"	"Pathogen: clinical or host-associated"	""	""	"Clinical or host-associated pathogen"	"SAMN02928182"
"Pathogen.env.1.0"	"Pathogen: environmental/food/other; version 1.0"	"Pathogen: environmental/food/other"	""	""	"Environmental, food or other pathogen"	"SAMN02730065"
"Microbe.1.0"	"Microbe; version 1.0"	"Microbe"	""	""	"Use for bacteria or other unicellular microbes when it is not appropriate or advantageous to use MIxS, Pathogen or Virus packages."	"SAMN02911891"
"Model.organism.animal.1.0"	"Model organism or animal; version 1.0"	"Model organism or animal"	""	""	"Use for multicellular samples or cell lines derived from common laboratory model organisms, e.g., mouse, rat, Drosophila, worm, fish, frog, or large mammals including zoo and farm animals."	"SAMN02905883"
"Metagenome.environmental.1.0"	"Metagenome or environmental; version 1.0"	"Metagenome or environmental"	""	""	"Use for metagenomic and environmental samples when it is not appropriate or advantageous to use MIxS packages."	""
"Invertebrate.1.0"	"Invertebrate; version 1.0"	"Invertebrate"	""	""	"Use for any invertebrate sample."	""
"Human.1.0"	"Human; version 1.0"	"Human"	""	""	"WARNING: Only use for human samples or cell lines that have no privacy concerns. For all studies involving human subjects, it is the submitter's responsibility to ensure that the information supplied protects participant privacy in accordance with all applicable laws, regulations and institutional policies. Make sure to remove any direct personal identifiers from your submission. If there are patient privacy concerns regarding making data fully public, please submit samples and data to NCBI's dbGaP database. dbGaP has controlled access mechanisms and is an appropriate resource for hosting sensitive patient data. For samples isolated from humans use the Pathogen, Microbe or appropriate MIxS package."	"SAMN02911274"
"Plant.1.0"	"Plant; version 1.0"	"Plant"	""	""	"Use for any plant sample or cell line."	"SAMN02870692"
"Virus.1.0"	"Virus; version 1.0"	"Viral"	""	""	"Use for all virus samples not directly associated with disease. Viral pathogens should be submitted using the Pathogen: Clinical or host-associated pathogen package."	"SAMN02927319"
"MIMS.me.air.4.0"	"MIMS: metagenome/environmental, air; version 4.0"	"MIMS Environmental/Metagenome"	"air"	"air"	""	"SAMN02904796"
"MIMS.me.built.4.0"	"MIMS: metagenome/environmental, built; version 4.0"	"MIMS Environmental/Metagenome"	"built"	"built"	""	""
"MIMS.me.host-associated.4.0"	"MIMS: metagenome/environmental, host-associated; version 4.0"	"MIMS Environmental/Metagenome"	"host-associated"	"host-associated"	""	"SAMN02232114"
"MIMS.me.human-associated.4.0"	"MIMS: metagenome/environmental, human-associated; version 4.0"	"MIMS Environmental/Metagenome"	"human-associated"	"human-associated"	""	"SAMN02808661"
"MIMS.me.human-gut.4.0"	"MIMS: metagenome/environmental, human-gut; version 4.0"	"MIMS Environmental/Metagenome"	"human-gut"	"human-gut"	""	"SAMN02711913"
"MIMS.me.human-oral.4.0"	"MIMS: metagenome/environmental, human-oral; version 4.0"	"MIMS Environmental/Metagenome"	"human-oral"	"human-oral"	""	"SAMN02333701"
"MIMS.me.human-skin.4.0"	"MIMS: metagenome/environmental, human-skin; version 4.0"	"MIMS Environmental/Metagenome"	"human-skin"	"human-skin"	""	"SAMN01894483"
"MIMS.me.human-vaginal.4.0"	"MIMS: metagenome/environmental, human-vaginal; version 4.0"	"MIMS Environmental/Metagenome"	"human-vaginal"	"human-vaginal"	""	"SAMN02795945"
"MIMS.me.microbial.4.0"	"MIMS: metagenome/environmental, microbial; version 4.0"	"MIMS Environmental/Metagenome"	"microbial"	"microbial mat/biofilm"	""	"SAMN02213668"
"MIMS.me.miscellaneous.4.0"	"MIMS: metagenome/environmental, miscellaneous; version 4.0"	"MIMS Environmental/Metagenome"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02146473"
"MIMS.me.plant-associated.4.0"	"MIMS: metagenome/environmental, plant-associated; version 4.0"	"MIMS Environmental/Metagenome"	"plant-associated"	"plant-associated"	""	"SAMN02918283"
"MIMS.me.sediment.4.0"	"MIMS: metagenome/environmental, sediment; version 4.0"	"MIMS Environmental/Metagenome"	"sediment"	"sediment"	""	"SAMN02892988"
"MIMS.me.soil.4.0"	"MIMS: metagenome/environmental, soil; version 4.0"	"MIMS Environmental/Metagenome"	"soil"	"soil"	""	"SAMN02899785"
"MIMS.me.wastewater.4.0"	"MIMS: metagenome/environmental, wastewater; version 4.0"	"MIMS Environmental/Metagenome"	"wastewater"	"wastewater/sludge"	""	"SAMN02911905"
"MIMS.me.water.4.0"	"MIMS: metagenome/environmental, water; version 4.0"	"MIMS Environmental/Metagenome"	"water"	"water"	""	"SAMN00001362"
"MIGS.ba.4.0"	"MIGS: cultured bacteria/archaea; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"No environmental package"	"No environmental package"	""	"SAMN02676578"
"MIGS.ba.air.4.0"	"MIGS: cultured bacteria/archaea, air; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"air"	"air"	""	"SAMN02676578"
"MIGS.ba.built.4.0"	"MIGS: cultured bacteria/archaea, built; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"built"	"built"	""	"SAMN02676578"
"MIGS.ba.host-associated.4.0"	"MIGS: cultured bacteria/archaea, host-associated; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"host-associated"	"host-associated"	""	"SAMN02378805"
"MIGS.ba.human-associated.4.0"	"MIGS: cultured bacteria/archaea, human-associated; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"human-associated"	"human-associated"	""	"SAMN02839585"
"MIGS.ba.human-gut.4.0"	"MIGS: cultured bacteria/archaea, human-gut; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"human-gut"	"human-gut"	""	"SAMN02402847"
"MIGS.ba.human-oral.4.0"	"MIGS: cultured bacteria/archaea, human-oral; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"human-oral"	"human-oral"	""	"SAMN02698681"
"MIGS.ba.human-skin.4.0"	"MIGS: cultured bacteria/archaea, human-skin; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"human-skin"	"human-skin"	""	"SAMN02736786"
"MIGS.ba.human-vaginal.4.0"	"MIGS: cultured bacteria/archaea, human-vaginal; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"human-vaginal"	"human-vaginal"	""	"SAMN02400363"
"MIGS.ba.microbial.4.0"	"MIGS: cultured bacteria/archaea, microbial; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"microbial"	"microbial mat/biofilm"	""	"SAMN02641242"
"MIGS.ba.miscellaneous.4.0"	"MIGS: cultured bacteria/archaea, miscellaneous; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02894449"
"MIGS.ba.plant-associated.4.0"	"MIGS: cultured bacteria/archaea, plant-associated; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"plant-associated"	"plant-associated"	""	"SAMN02866194"
"MIGS.ba.sediment.4.0"	"MIGS: cultured bacteria/archaea, sediment; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"sediment"	"sediment"	""	"SAMN02725841"
"MIGS.ba.soil.4.0"	"MIGS: cultured bacteria/archaea, soil; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"soil"	"soil"	""	"SAMN02853142"
"MIGS.ba.wastewater.4.0"	"MIGS: cultured bacteria/archaea, wastewater; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"wastewater"	"wastewater/sludge"	""	"SAMN02364111"
"MIGS.ba.water.4.0"	"MIGS: cultured bacteria/archaea, water; version 4.0"	"MIGS Cultured Bacterial/Archaeal"	"water"	"water"	""	"SAMN02867807"
"MIGS.eu.4.0"	"MIGS: eukaryote; version 4.0"	"MIGS Eukaryotic"	"No environmental package"	"No environmental package"	""	"SAMN02900669"
